Name	Dateofworkshop	Phonenumber	EmailAddress	Age	Gender	AnesthesiaExperience(postresidency)	TraininginUS-guidedPNBduringresidency	HospitalAffliation	%PracticeDevotedtoPNB	AveragenumberofPNBperformedinatypicalmonth	HighestnumberofPNBperformedinonemonth	Ifeelcomfortableplacingperineuralcatheters	IfeelcomfortableusingultrasoundPNB	IamanexpertinUSRA	DoyouuseUS-guidancetoperformregionalanesthesia	IfyouuseUS-guidedRAwhat%oftime	Combinedultrasound-simulation	IfyoudonotcurrentlyuseultrasoundforPNBmostimportantreason	PreferredNervelocalizationtechnique:Interscalene	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Interscalene	PreferredNervelocalizationtechnique:Supraclavicular	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Supraclavicular	PreferredNervelocalizationtechnique:Infraclavicular	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Infraclavicular	PreferredNervelocalizationtechnique:Axillary	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Axillary	PreferredNervelocalizationtechnique:Femoral	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Femoral	PreferredNervelocalizationtechnique:Sciatic(otherthanpopliteal)	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Sciatic(otherthanpopliteal)	PreferredNervelocalizationtechnique:Popliteal	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Popliteal	PreferredNervelocalizationtechnique:TAP	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:TAP	PreferredNervelocalizationtechnique:PosteriorLumbarplexus	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:PosteriorLumbarplexus	PreferredNervelocalizationtechnique:Paravertebral	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Paravertebral	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Preferenceforothernervelocalizationtechniques	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:DidacticLectures	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Scanningonmodelsataworkshop	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Phantompractice(e.g.bluephantomormeat)	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Observationofrealprocedures	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Onlineandotherelectronictutorials	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Textbooks	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Teachingbycolleagues	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Self-teaching	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Mannequinsimulation(immersivelearning)	EncounteredduringanytimeofpracticingRegionalAnesthesia:AnxiousPatient	EncounteredduringanytimeofpracticingRegionalAnesthesia:Anaphylaxisormajorallergicreaction	EncounteredduringanytimeofpracticingRegionalAnesthesia:Localanestheticsystemictoxicity	EncounteredduringanytimeofpracticingRegionalAnesthesia:Tachycardiaduetointravascularinjectionoflocalanestheticsolutionwithepinephrine	EncounteredduringanytimeofpracticingRegionalAnesthesia:Wrongsiteblock	EncounteredduringanytimeofpracticingRegionalAnesthesia:Vasovagalreaction	EncounteredduringanytimeofpracticingRegionalAnesthesia:Inadvertenetparesthesia	LipidRescuepackavailablewherePNBisperformed	Othernotes	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Inadequatetechnicalskills	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Availabilityofultrasoundequipment	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Timepressure	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Supportfromsurgeons	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Preferenceforothernervelocalizationtechniques
masked	5/11/2012	masked	masked	55	2	18	2	2	1000	7.5	13.5	1000	1000	1000	1000	1000	1000	1000	3	1000	1	0	1000	1000	0	1000	1000	"2,4"	1000	1	3	1000	1	0	1000	1000	3	1000	1	0	1000	1000	1000	1000	1000	1000	1000	1000	5	3	4	5	5	4	3	5	1000	4	1	2	1	2	2	2	1	1	NA	2	4	1	3	5
masked	5/4/2012	masked	masked	49	1	18	2	2	1000	30	40	1000	1000	1000	1000	1000	1000	1000	2	1000	1000	0	1000	1000	2	1000	1000	"2,4"	1000	1000	"1,2,3"	1000	1000	"1,2"	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	3	1000	4	4	4	4	1000	4	2	2	2	2	2	2	2	1	NA	1000	1000	1000	1000	1000
masked	5/4/2012	masked	masked	69	1	35	2	2	1000	5	1000	1000	1000	1000	1000	1000	1000	1000	2	1000	3	0	1000	1000	0	1000	1000	1000	1000	1000	3	1000	3	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1	2	2	2	2	2	2	2	NA	checked but not ranked	1000	1000	1000	1000
masked	5/4/2012	masked	masked	49	1	17	2	2	1000	22.5	25	1000	1000	1000	1000	1000	1000	1000	"1,3"	1000	3	1	1000	3	1	1000	3	1	1000	3	1	1000	3	0	1000	1000	1	1000	3	1	1000	3	1000	1000	1000	1000	1000	1000	1000	5	1000	1000	1000	4	4	5	1000	1000	1	2	2	2	2	2	2	1	NA	1000	1000	1000	1000	1000
masked	4/13/2012	masked	masked	36	1	7	2	2	1000	10	20	1000	1000	1000	1000	1000	1000	1000	2	1000	1000	0	1000	1000	2	1000	1000	0	1000	1000	2	1000	5	0	1000	1000	2	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	3	3	5	3	5	3	3	4	1000	4	1	2	2	2	2	2	2	1	NA	2	5	1	2	3
masked	4/13/2013	masked	masked	38	1	5	1	2	1000	6	12	1000	1000	1000	1000	1000	1000	1000	1	1000	4	1	1000	3	1	1000	2	1	1000	2	1	1000	4	1	1000	2	1	1000	4	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	4	3	4	4	2	4	1000	4	1	2	2	1	2	2	1	1	Very little taining in US-guided PNB during residency	1000	1000	1000	1000	1000
masked	4/13/2012	masked	masked	63	1	28	2	2	1000	15	20	1000	1000	1000	1000	1000	1000	1000	1	1000	1	1	1000	1	0	1000	1000	0	1000	1000	"1,0"	1000	1000	0	1000	1000	"1,0"	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	2	2	2	2	3	1	1000	2	1	2	2	1	2	2	1	2	NA	1000	1000	1000	1000	1000
masked	4/6/2012	masked	masked	44	1	8	2	1	1000	100+	160	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1000	1000	1000	1000	1000	1000	1000	3	5	3	5	3	3	5	1000	5	1	2	2	1	1	1	1	1	NA	1000	1000	1000	1000	1000
masked	4/6/2012	masked	masked	50	1	12	2	"1,2"	1000	65	?	1000	1000	1000	1000	1000	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	3	1000	1000	1	1000	1000	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	4	3	5	3	4	4	1000	4	1	2	2	1	1	1	1	1	NA	1000	1000	1000	1000	1000
masked	4/6/2012	masked	masked	56	1	28	2	2	1000	2	6	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	2	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	3	4	4	?	5	2	2	5	1000	4	1	2	2	1	2	1	1	1	NA	1	5	2	4	3
masked	3/23/2012	masked	masked	60	1	22	2	2	1000	2	4	1000	1000	1000	1000	1000	1000	1000	1	1000	3	0	1000	1000	0	1000	1000	0	1000	1000	1	1000	2	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	NA	1000	1000	1000	1000	1000
masked	3/23/2012	masked	masked	62	1	25	2	2	1000	0	0	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	2	1	2	1	2	4	1	1000	1	1	1	1	2	2	1	2	1	NA	1	1000	1	1000	1000
masked	3/23/2012	masked	masked	54	1	20	2	2	1000	8	12	1000	1000	1000	1000	1000	1000	1000	3	1000	5	3	1000	3	0	1000	1000	3	1000	5	3	1000	5	0	1000	1000	3	1000	5	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	NA	1000	1000	1000	1000	1000
masked	3/9/2012	masked	masked	45	2	16	2	2	1000	3	5	1000	1000	1000	1000	1000	1000	1000	1	1000	1	0	1000	1000	0	1000	1000	1	1000	1	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	4	5	3	3	5	1000	2	1	2	2	2	2	2	1	1	Noted that Hospital Affliation may be consider teaching since there are nurse anesthesia students	1000	1000	1000	1000	1000
masked	3/9/2012	masked	masked	1000	1000	30	2	2	1000	20	30	1000	1000	1000	1000	1000	1000	1000	3	1000	5	3	1000	5	3	1000	5	0	1000	1000	1	1000	5	1	1000	5	1	1000	5	1	1000	4	1000	1000	1000	1000	1000	1000	1000	2	3	1	4	3	1	4	1000	1000	1	2	2	1	2	1	1	1	NA	1000	1000	1000	1000	1000
masked	3/9/2012	masked	masked	53	1	25	2	2	1000	0	0	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	4	3	4	3	3	5	1000	4	1	2	2	1	2	1	1	1	NA	2	5	2	2	1000
masked	2/24/2012	masked	masked	47	1	17	2	"1,2"	1000	16	30	1000	1000	1000	1000	1000	1000	1000	2	1000	4	0	1000	1000	0	1000	1000	2	1000	5	2	1000	5	2	1000	3	2	1000	4	0	1000	1000	1000	1000	1000	1000	1000	1000	1	2	3	3	3	4	3	3	1000	1000	1	2	2	2	2	2	2	1	NA	2	5	1	2	1
masked	2/24/2012	masked	masked	50	1	18	1	2	1000	3	5	1000	1000	1000	1000	1000	1000	1000	2	1000	3	0	1000	2	0	1000	2	4	1000	2	1	1000	4	0	1000	2	1	1000	4	0	1000	1	1000	1000	1000	1000	1000	1000	5	3	4	4	4	3	3	4	1000	5	1	2	2	2	2	2	2	1	NA	3	4	2	1	5
masked	2/24/2012	masked	masked	54	1	25	2	2	1000	4	8	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	2	1000	3	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	5	2	4	3	5	3	2	4	1000	5	1	2	1	2	2	1	2	1	NA	1	5	3	4	5
masked	1/20/2012	masked	masked	1000	1	17	1	2	1000	4	6	1000	1000	1000	1000	1000	1000	1000	3	1000	3	0	1000	1000	0	1000	1000	1	1000	3	3	1000	4	2	1000	4	3	1000	3	1	1000	2	1000	1000	1000	1000	1000	1000	1000	4	4	3	5	4	4	4	1000	4	1	2	1	1	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	1/20/2012	masked	masked	39	1	8	2	2	1000	1.5	3.5	1000	1000	1000	1000	1000	1000	1000	2	1000	5	0	1000	1	2	1000	3	4	1000	5	2	1000	5	2	1000	3	2	1000	4	0	1000	1	1000	1000	1000	1000	1000	1000	3	5	5	5	5	3	3	5	1000	4	1	2	2	2	2	2	2	1	NA	1	3	3	3	3
masked	1/19/2012	masked	masked	48	1	16	2	2	1000	8	11	1000	1000	1000	1000	1000	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	0	1000	1000	3	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	3	2	2	2	2	2	2	2	1000	2	1	2	2	2	2	2	1	1	NA	1	5	3	2	3
masked	1/6/2012	masked	masked	52	2	21	2	2	1000	0	0	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	5	5	5	1000	1000	5	1000	1000	1	2	2	2	2	2	1	1	NA	checked but not ranked	1000	1000	1000	1000
masked	1/6/2012	masked	masked	62	2	>20	2	2	1000	5	10	1000	1000	1000	1000	1000	1000	1000	2	1000	1000	0	1000	1000	0	1000	1000	2	1000	1000	2	1000	5	2	1000	1000	2	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	5	3	3	2	4	3	3	3	1000	1000	1	2	2	2	2	2	2	1	NA	3	4	1	2	5
masked	1/6/2012	masked	masked	63	1	33	2	2	1000	2	8	1000	1000	1000	1000	1000	1000	1000	3	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	3	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	3	5	4	3	5	1000	4	1	2	2	2	2	1	2	1	NA	1000	1000	1000	1000	1000
masked	5/20/2011	masked	masked	55	1	25	3	2	1	0	1000	1*stongly disagree	1	1	2	1000	1000	2	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	5	>50	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	3	4	4	5	4	3	4	3	4	1	2	1	2	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	5/20/2011	masked	masked	54	1	22	3	2	1	4000	1000	1	3	1	1	80	100%	1000	5	0	1000	5	0	1000	0	0	1000	5	0	1000	5	0	1000	5	0	1000	5	0	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	3	5	2	4	4	4	4	3	1000	1	2	1	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	5/20/2011	masked	masked	49	1	15	4	2	1	2000	1000	2	2	1	1	1000	1000	2	5	1000	1000	0	1000	1000	0	1000	1000	5	1000	1000	5	5	1000	5	1000	1000	5	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	3	4	4	4	3	3	4	3	3	1	1	1	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	6/17/2011	masked	masked	58	1	26	4	2	2	3000	1000	3	3	2	1	100%	80	1000	5	0	1000	5	0	1000	5	0	1000	5	0	1000	5	75	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	2	4	2	4	3	2	4	4	3	1	2	2	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	6/17/2011	masked	masked	61	1	32	1000	2	1	2000	1000	2	2	1	1	10%	yes?	2	5	0	1000	0	1000	1000	0	1000	1000	5	0	1000	1	50	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	3	4	2	4	3	2	4	3	4	1	2	1	2	2	2	1000	1	NA	1000	1000	1000	1000	1000
masked	6/17/2011	masked	masked	61	1	30	4	2	2	3000	1000	3	4	2	1	100%	100%	1000	5	51	1000	5	0	1000	5	0	1000	5	0	1000	5	80	1000	0	1000	1000	5	<1%	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	2	3	3	3	3	2	4	4	4	1	2	2	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	10/7/2011	masked	masked	57	1	26	4	2	3	4000	1000	5	1	1	1	10%	10%	2	5	5	1000	0	1000	1000	0	1000	1000	5	0	1000	5	80	1000	5	0	1000	5	0	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1	4	3	5	2	1	5	2	5	1	2	1	1	1	1	1000	2	NA	1000	1000	1000	1000	1000
masked	10/7/2011	masked	masked	35	1	5	3	2	2	4000	1000	3	4	1	1	90	90	1000	5	0	1000	5	0	1000	5	0	1000	5	0	1000	5	0	1000	5	0	1000	5	0	1000	0	1000	1000	5	0	1000	0	1000	1000	1000	3	4	4	4	4	3	5	5	4	1	2	1	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	10/21/2011	masked	masked	37	1	5	3	2	3	4000	1000	4	4	3	1	75	yes?	1000	5	0	1000	5	0	1000	5	0	1000	5	0	1000	5	50	1000	5	0	1000	5	0	1000	5	0	1000	0	1000	1000	0	1000	1000	1000	3	4	3	4	3	3	4	4	4	1	1	1	1	2	2	1000	1	NA	1000	1000	1000	1000	1000
masked	10/21/2011	masked	masked	55	1	15	4	1	1	3000	1000	3	4	1	1	100%	0%	1000	5	0	1000	5	0	1000	0	1000	1000	0	1000	1000	5	0	1000	5	0	1000	5	0	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	1	3	3	3	3	1	2	1	4	1	2	1	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	10/21/2011	masked	masked	57	1	26	3	2	1	2000	1000	2	1	1	2	1000	1000	"1,2"	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	5	0	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	4	5	4	5	3	4	5	3	5	1	2	1	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	6/24/2011	masked	masked	40	1	10	3	2	2	4000	1000	5	5	5	1	100%	80	1000	5	2	1000	0	1000	1000	0	1000	1000	5	0	1000	5	30	1000	0	1000	1000	5	10	1000	5	0	1000	0	1000	1000	0	1000	1000	1000	4	3	3	3	4	3	5	4	4	1	1	2	2	2	2	1000	1	NA	1000	1000	1000	1000	1000
masked	6/24/2011	masked	masked	53	1	20	4	2	3	4000	1000	1	1	1	2	1000	1000	"1,2,3"	5	1000	1000	0	1000	1000	5	1000	1000	5	1000	1000	5	1000	1000	5	1000	1000	5	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	2	3	3	4	3	2	4	3	5	1	2	2	1	2	2	1000	1	NA	1000	1000	1000	1000	1000
masked	6/24/2011	masked	masked	53	1	18	4	2	1	2000	1000	1	1	1	2	1000	1000	2	5	0	1000	1000	1000	1000	5	0	1000	5	0	1000	5	0	1000	1000	1000	1000	5	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	4	4	4	3	2	4	2	5	1	2	2	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	7/11/2011	masked	masked	43	2	2	3	2	1	3000	1000	3	5	3	1	90	yes?	1000	5	1000	1000	5	1000	1000	0	1000	1000	5	1000	1000	5	1000	1000	5	1000	1000	5	1000	1000	0	1000	1000	5	1000	1000	0	1000	1000	1000	2	4	4	5	4	3	5	4	5	1	2	2	2	2	2	1000	1	NA	1000	1000	1000	1000	1000
masked	7/11/2011	masked	masked	42	1	6	3	2	2	4000	1000	5	4	4	1	50	50	1	1	50	1000	0	1000	1000	0	10%	1000	0	1000	1000	5	30	1000	5	5	1000	5	5	1000	0	1000	1000	5	<5%	1000	0	1000	1000	1000	4	4	5	4	4	3	5	5	5	1	2	2	1	2	2	1000	1	NA	1000	1000	1000	1000	1000
masked	7/11/2011	masked	masked	40	1	6	4	2	1	3000	1000	4	4	4	2	1000	20	2	5	1000	1000	5	1000	1000	0	1000	1000	5	1000	1000	5	1000	1000	0	1000	1000	5	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	3	4	5	4	3	3	5	4	5	1	2	2	2	2	2	1000	1	NA	1000	1000	1000	1000	1000
masked	9/16/2011	masked	masked	55	1	28	4	2	1	3000	1000	1	3	2	1	75	100%	1000	5	1000	1000	0	1000	1000	0	1000	1000	5	1000	1000	5	1000	1000	0	1000	1000	1000	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	2	1000	4	4	4	3	5	4	1000	1	1	1	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
masked	9/16/2011	masked	masked	37	1	5	3	2	1	2000	1000	4	4	4	1	100%	100%	1000	5	100%	1000	0	1000	1000	5	100%	1000	0	1000	1000	5	100%	1000	5	0	1000	5	50	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	3	4	3	4	2	3	3	1	4	1	2	1	2	2	2	1000	1	NA	1000	1000	1000	1000	1000
masked	9/16/2011	masked	masked	51	1	19	4	2	1	2000	1000	1	1	1	2	1000	1000	2	5	0	1000	0	1000	1000	0	1000	1000	5	0	1000	5	0	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	0	1000	1000	1000	3	4	1000	2	4	4	4	3	4	1	2	2	2	2	1	1000	2	NA	1000	1000	1000	1000	1000
masked	9/16/2011	masked	masked	56	1	25	3	2	2	4000	1000	5	5	3.5	1	100%	10%	1000	5	90	1000	5	25	1000	5	25	1000	5	0	1000	5	95	1000	5	50	1000	5	25	1000	5	0	1000	0	0	1000	0	0	1000	1000	5	4	2	5	5	4	5	4	4	1	1	2	1	2	1	1000	1	NA	1000	1000	1000	1000	1000
